school_name,season,division,conference_code,primary_conference,roster_size,avg_height_inches,median_height_inches,min_height_inches,max_height_inches,height_std_inches,imputed_height_count,avg_experience,median_experience,max_experience,transfer_count,international_count,transfer_pct,international_pct,imputed_height_pct,experience_year_1_count,experience_year_2_count,experience_year_3_count,experience_year_4_count,experience_year_5_count,experience_year_1_pct,experience_year_2_pct,experience_year_3_pct,experience_year_4_pct,experience_year_5_pct,position_l_ds_count,position_mb_count,position_oh_count,position_opp_count,position_s_count
Indiana State University,2025,DI,MVC,Missouri Valley Conference,14,72.07142857142857,72.0,69.0,74.0,1.5424399110243714,0,2.357142857142857,2.5,4.0,0,0,0.0,0.0,0.0,4.0,3.0,5.0,2.0,0.0,0.2857142857142857,0.21428571428571427,0.35714285714285715,0.14285714285714285,0.0,0.0,6.0,5.0,0.0,3.0
Indiana University Indianapolis,2025,DI,Horizon,Horizon League,16,69.375,70.0,63.0,73.0,3.1384709652950433,0,,,,3,0,0.1875,0.0,0.0,,,,,,,,,,,4.0,4.0,3.0,3.0,2.0
Jackson State University,2025,DI,SWAC,Southwestern Athletic Conf.,14,68.71428571428571,69.0,63.0,72.0,2.524604201380163,0,2.5714285714285716,3.0,4.0,0,0,0.0,0.0,0.0,4.0,2.0,4.0,4.0,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,3.0,3.0,2.0,2.0,4.0
Jacksonville University,2025,DI,ASUN,Atlantic Sun Conference,11,70.54545454545455,70.0,65.0,74.0,2.583162262175426,0,3.1818181818181817,3.0,5.0,0,2,0.0,0.18181818181818182,0.0,2.0,1.0,3.0,3.0,2.0,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.18181818181818182,1.0,3.0,4.0,0.0,3.0
James Madison University,2025,DI,SBC,Sun Belt Conference,15,72.4,72.0,68.0,76.0,3.1121880222303866,0,2.3333333333333335,2.0,4.0,0,2,0.0,0.13333333333333333,0.0,5.0,3.0,4.0,3.0,0.0,0.3333333333333333,0.2,0.26666666666666666,0.2,0.0,3.0,4.0,3.0,2.0,3.0
Kent State University,2025,DI,Mid American,Mid-American Conference,16,70.0,69.5,65.0,75.0,3.03315017762062,0,2.5625,2.5,4.0,16,1,1.0,0.0625,0.0,3.0,5.0,4.0,4.0,0.0,0.1875,0.3125,0.25,0.25,0.0,4.0,3.0,5.0,1.0,3.0
Lehigh University,2025,DI,PL,Patriot League,17,70.41176470588235,71.0,64.0,74.0,2.6706465399180894,0,2.588235294117647,3.0,4.0,0,0,0.0,0.0,0.0,4.0,3.0,6.0,4.0,0.0,0.23529411764705882,0.17647058823529413,0.35294117647058826,0.23529411764705882,0.0,2.0,3.0,5.0,3.0,4.0
Liberty University,2025,DI,CUSA,Conference USA,18,70.22487457363393,71.45390070921985,66.12328767123287,73.15611814345992,2.529294863425525,0,2.111111111111111,2.0,5.0,0,0,0.0,0.0,0.0,7.0,6.0,3.0,0.0,2.0,0.3888888888888889,0.3333333333333333,0.16666666666666666,0.0,0.1111111111111111,4.0,3.0,6.0,1.0,4.0
Lindenwood University,2025,DI,Ohio Valley,Ohio Valley Conference,10,71.1,71.5,66.0,74.0,2.330951164939614,0,2.5,2.5,4.0,0,0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,0.0,0.2,0.3,0.3,0.2,0.0,1.0,3.0,2.0,2.0,2.0
Long Island University,2025,DI,NEC,Northeast Conference,7,72.14285714285714,73.0,67.0,75.0,2.7342623276105864,0,2.0,2.0,3.0,0,4,0.0,0.5714285714285714,0.0,2.0,3.0,2.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.0,1.0,2.0,2.0,0.0,2.0
